prompt_id,model,provider,use_optimized,prompt_tokens,completion_tokens,cached_tokens,cost_usd,latency_ms,error,section_order
0,anthropic/claude-sonnet-4.6,openrouter,True,3207,0,0,0.0,0.0,<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1082)>,system|tools|history|query
1,anthropic/claude-sonnet-4.6,openrouter,True,3496,0,0,0.0,0.0,<urlopen error [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1082)>,system|tools|context|documents|query
2,anthropic/claude-sonnet-4.6,openrouter,True,3779,1,0,0.025512,18440.454959869385,,system|tools|role|context|documents|history|query
3,anthropic/claude-sonnet-4.6,openrouter,True,3826,1,0,0.02582925,1803.9228916168213,,system|tools|role|context|documents|history|query
4,anthropic/claude-sonnet-4.6,openrouter,True,3690,2,0,0.02492625,2160.94708442688,,system|tools|context|query
5,anthropic/claude-sonnet-4.6,openrouter,True,3566,1,0,0.024074250000000005,1991.4138317108154,,system|tools|role|context|query
6,anthropic/claude-sonnet-4.6,openrouter,True,3787,1,0,0.025566000000000002,1816.343069076538,,system|tools|role|context|documents|history|query
7,anthropic/claude-sonnet-4.6,openrouter,True,3549,32,0,0.024424500000000002,2485.3291511535645,,system|tools|role|history|query
8,anthropic/claude-sonnet-4.6,openrouter,True,3776,1,0,0.02549175,1976.4668941497803,,system|tools|role|documents|history|query
9,anthropic/claude-sonnet-4.6,openrouter,True,3944,1,0,0.02662575,2122.386932373047,,system|tools|context|documents|history|query
10,anthropic/claude-sonnet-4.6,openrouter,True,3789,1,0,0.025579499999999998,2269.3870067596436,,system|tools|role|documents|query
11,anthropic/claude-sonnet-4.6,openrouter,True,3492,32,0,0.024039750000000002,1760.497808456421,,system|tools|query
12,anthropic/claude-sonnet-4.6,openrouter,True,3716,1,0,0.025086749999999998,2388.508081436157,,system|tools|role|context|history|query
13,anthropic/claude-sonnet-4.6,openrouter,True,3711,1,0,0.025053000000000002,1759.2670917510986,,system|tools|role|documents|history|query
14,anthropic/claude-sonnet-4.6,openrouter,True,3588,1,0,0.02422275,2311.4356994628906,,system|tools|role|documents|query
15,anthropic/claude-sonnet-4.6,openrouter,True,3714,2,0,0.02508825,1716.9198989868164,,system|tools|role|context|history|query
16,anthropic/claude-sonnet-4.6,openrouter,True,3739,1,0,0.025242000000000004,1742.6912784576416,,system|tools|role|documents|history|query
17,anthropic/claude-sonnet-4.6,openrouter,True,3821,1,3476,0.0033753,2258.4588527679443,,system|tools|documents|query
18,anthropic/claude-sonnet-4.6,openrouter,True,3896,1,0,0.026301750000000002,1968.022108078003,,system|tools|role|documents|history|query
19,anthropic/claude-sonnet-4.6,openrouter,True,3643,32,0,0.025058999999999998,3020.455837249756,,system|tools|role|documents|query
20,anthropic/claude-sonnet-4.6,openrouter,True,3808,1,0,0.02570775,1814.3389225006104,,system|tools|role|context|documents|query
21,anthropic/claude-sonnet-4.6,openrouter,True,3605,1,3476,0.0019173,5980.904817581177,,system|tools|context|query
22,anthropic/claude-sonnet-4.6,openrouter,True,3630,1,3476,0.00208605,2130.6960582733154,,system|tools|context|query
23,anthropic/claude-sonnet-4.6,openrouter,True,3977,1,0,0.0268485,1989.8810386657715,,system|tools|role|context|documents|query
24,anthropic/claude-sonnet-4.6,openrouter,True,3737,1,0,0.0252285,1489.2370700836182,,system|tools|role|context|history|query
25,anthropic/claude-sonnet-4.6,openrouter,True,3689,5,3476,0.0025442999999999998,2074.0370750427246,,system|tools|context|history|query
26,anthropic/claude-sonnet-4.6,openrouter,True,3717,1,3476,0.0026733,1694.5149898529053,,system|tools|context|history|query
27,anthropic/claude-sonnet-4.6,openrouter,True,3773,1,0,0.0254715,2053.1368255615234,,system|tools|role|context|documents|history|query
28,anthropic/claude-sonnet-4.6,openrouter,True,3926,1,0,0.026504250000000004,1658.635139465332,,system|tools|role|context|documents|history|query
29,anthropic/claude-sonnet-4.6,openrouter,True,3682,1,3476,0.00243705,1805.9968948364258,,system|tools|documents|history|query
0,anthropic/claude-sonnet-4.6,openrouter,False,3562,1,0,0.010701,1744.3697452545166,,query|history|tools|system
1,anthropic/claude-sonnet-4.6,openrouter,False,3863,2,0,0.011619,2091.071128845215,,query|documents|context|tools|system
2,anthropic/claude-sonnet-4.6,openrouter,False,3779,1,0,0.011352,1732.187032699585,,query|history|documents|context|role|tools|system
3,anthropic/claude-sonnet-4.6,openrouter,False,3826,1,0,0.011493,4099.762916564941,,query|history|documents|context|role|tools|system
4,anthropic/claude-sonnet-4.6,openrouter,False,3690,2,0,0.0111,1787.909984588623,,query|context|tools|system
5,anthropic/claude-sonnet-4.6,openrouter,False,3566,2,0,0.010728000000000001,1774.3821144104004,,query|context|role|tools|system
6,anthropic/claude-sonnet-4.6,openrouter,False,3787,1,0,0.011375999999999999,2074.974775314331,,query|history|documents|context|role|tools|system
7,anthropic/claude-sonnet-4.6,openrouter,False,3549,1,0,0.010662,1953.7298679351807,,query|history|role|tools|system
8,anthropic/claude-sonnet-4.6,openrouter,False,3776,1,0,0.011342999999999999,1880.3818225860596,,query|history|documents|role|tools|system
9,anthropic/claude-sonnet-4.6,openrouter,False,3944,1,0,0.011846999999999998,1724.2891788482666,,query|history|documents|context|tools|system
10,anthropic/claude-sonnet-4.6,openrouter,False,3790,1,0,0.011385,2228.494167327881,,query|documents|role|tools|system
11,anthropic/claude-sonnet-4.6,openrouter,False,3492,32,0,0.010955999999999999,3231.365919113159,,query|tools|system
12,anthropic/claude-sonnet-4.6,openrouter,False,3717,1,0,0.011165999999999999,2377.0530223846436,,query|history|context|role|tools|system
13,anthropic/claude-sonnet-4.6,openrouter,False,3711,1,0,0.011148,2324.8250484466553,,query|history|documents|role|tools|system
14,anthropic/claude-sonnet-4.6,openrouter,False,3589,1,0,0.010782,1828.8536071777344,,query|documents|role|tools|system
15,anthropic/claude-sonnet-4.6,openrouter,False,3714,1,0,0.011156999999999999,2127.6137828826904,,query|history|context|role|tools|system
16,anthropic/claude-sonnet-4.6,openrouter,False,3739,1,0,0.011232,3330.2018642425537,,query|history|documents|role|tools|system
17,anthropic/claude-sonnet-4.6,openrouter,False,3821,2,0,0.011493000000000001,1996.2308406829834,,query|documents|tools|system
18,anthropic/claude-sonnet-4.6,openrouter,False,3896,1,0,0.011703,2325.2408504486084,,query|history|documents|role|tools|system
19,anthropic/claude-sonnet-4.6,openrouter,False,3643,1,0,0.010943999999999999,3354.8548221588135,,query|documents|role|tools|system
