prompt_id,model,provider,use_optimized,prompt_tokens,completion_tokens,cached_tokens,cost_usd,latency_ms,error,section_order
0,google/gemini-2.5-flash,openrouter,True,3432,10,0,0.0010546000000000002,1096.8449115753174,,system|tools|history|query
1,google/gemini-2.5-flash,openrouter,True,3718,32,0,0.0011953999999999999,1327.2371292114258,,system|tools|context|documents|query
2,google/gemini-2.5-flash,openrouter,True,3635,32,0,0.0011705,1057.31201171875,,system|tools|role|context|documents|history|query
3,google/gemini-2.5-flash,openrouter,True,3683,32,0,0.0011849,1494.9660301208496,,system|tools|role|context|documents|history|query
4,google/gemini-2.5-flash,openrouter,True,3546,18,0,0.0011087999999999998,1057.6329231262207,,system|tools|context|query
5,google/gemini-2.5-flash,openrouter,True,3436,32,0,0.0011108,1129.1351318359375,,system|tools|role|context|query
6,google/gemini-2.5-flash,openrouter,True,3638,23,0,0.0011489,1204.4663429260254,,system|tools|role|context|documents|history|query
7,google/gemini-2.5-flash,openrouter,True,3420,14,0,0.001061,858.7181568145752,,system|tools|role|history|query
8,google/gemini-2.5-flash,openrouter,True,3624,27,0,0.0011547,1099.2231369018555,,system|tools|role|documents|history|query
9,google/gemini-2.5-flash,openrouter,True,3786,32,0,0.0012158,1089.9126529693604,,system|tools|context|documents|history|query
10,google/gemini-2.5-flash,openrouter,True,3648,32,0,0.0011744,1074.3939876556396,,system|tools|role|documents|query
11,google/gemini-2.5-flash,openrouter,True,3363,32,0,0.0010889,939.5878314971924,,system|tools|query
12,google/gemini-2.5-flash,openrouter,True,3566,32,0,0.0011498,988.5978698730469,,system|tools|role|context|history|query
13,google/gemini-2.5-flash,openrouter,True,3569,32,0,0.0011507,955.8451175689697,,system|tools|role|documents|history|query
14,google/gemini-2.5-flash,openrouter,True,3454,32,0,0.0011162,1004.6384334564209,,system|tools|role|documents|query
15,google/gemini-2.5-flash,openrouter,True,3572,32,0,0.0011516,1022.1819877624512,,system|tools|role|context|history|query
16,google/gemini-2.5-flash,openrouter,True,3604,32,0,0.0011612,989.7439479827881,,system|tools|role|documents|history|query
17,google/gemini-2.5-flash,openrouter,True,3676,32,0,0.0011828,1033.5171222686768,,system|tools|documents|query
18,google/gemini-2.5-flash,openrouter,True,3754,32,0,0.0012062,1019.8509693145752,,system|tools|role|documents|history|query
19,google/gemini-2.5-flash,openrouter,True,3507,7,0,0.0010696,883.275032043457,,system|tools|role|documents|query
20,google/gemini-2.5-flash,openrouter,True,3651,9,0,0.0011178,966.0389423370361,,system|tools|role|context|documents|query
21,google/gemini-2.5-flash,openrouter,True,3468,23,0,0.0010979,939.7740364074707,,system|tools|context|query
22,google/gemini-2.5-flash,openrouter,True,3486,22,0,0.0011007999999999999,808.586835861206,,system|tools|context|query
23,google/gemini-2.5-flash,openrouter,True,3813,32,3060,0.00039769999999999996,1045.6011295318604,,system|tools|role|context|documents|query
24,google/gemini-2.5-flash,openrouter,True,3587,7,0,0.0010936,999.6190071105957,,system|tools|role|context|history|query
25,google/gemini-2.5-flash,openrouter,True,3552,32,3059,0.00031967,1056.0989379882812,,system|tools|context|history|query
26,google/gemini-2.5-flash,openrouter,True,3573,7,0,0.0010894,958.9860439300537,,system|tools|context|history|query
27,google/gemini-2.5-flash,openrouter,True,3634,32,0,0.0011702,1006.2930583953857,,system|tools|role|context|documents|history|query
28,google/gemini-2.5-flash,openrouter,True,3760,32,0,0.0012079999999999999,1418.7729358673096,,system|tools|role|context|documents|history|query
29,google/gemini-2.5-flash,openrouter,True,3544,32,0,0.0011431999999999998,1011.1989974975586,,system|tools|documents|history|query
0,google/gemini-2.5-flash,openrouter,False,3433,21,0,0.0010823999999999999,919.1179275512695,,query|history|tools|system
1,google/gemini-2.5-flash,openrouter,False,3719,32,0,0.0011957,1036.7019176483154,,query|documents|context|tools|system
2,google/gemini-2.5-flash,openrouter,False,3636,32,0,0.0011707999999999998,1078.660011291504,,query|history|documents|context|role|tools|system
3,google/gemini-2.5-flash,openrouter,False,3684,32,0,0.0011852,1156.4948558807373,,query|history|documents|context|role|tools|system
4,google/gemini-2.5-flash,openrouter,False,3547,32,0,0.0011440999999999999,1111.0029220581055,,query|context|tools|system
5,google/gemini-2.5-flash,openrouter,False,3437,32,0,0.0011110999999999998,901.0529518127441,,query|context|role|tools|system
6,google/gemini-2.5-flash,openrouter,False,3639,32,0,0.0011717,1117.4845695495605,,query|history|documents|context|role|tools|system
7,google/gemini-2.5-flash,openrouter,False,3421,32,0,0.0011063,919.5380210876465,,query|history|role|tools|system
8,google/gemini-2.5-flash,openrouter,False,3625,27,0,0.001155,998.4009265899658,,query|history|documents|role|tools|system
9,google/gemini-2.5-flash,openrouter,False,3787,32,0,0.0012161,1067.9311752319336,,query|history|documents|context|tools|system
10,google/gemini-2.5-flash,openrouter,False,3649,32,0,0.0011746999999999999,1082.495927810669,,query|documents|role|tools|system
11,google/gemini-2.5-flash,openrouter,False,3364,32,0,0.0010891999999999998,1074.6769905090332,,query|tools|system
12,google/gemini-2.5-flash,openrouter,False,3567,32,0,0.0011500999999999998,1123.2178211212158,,query|history|context|role|tools|system
13,google/gemini-2.5-flash,openrouter,False,3570,32,0,0.001151,1018.5892581939697,,query|history|documents|role|tools|system
14,google/gemini-2.5-flash,openrouter,False,3455,32,0,0.0011165,989.3298149108887,,query|documents|role|tools|system
15,google/gemini-2.5-flash,openrouter,False,3573,19,0,0.0011194,1107.1228981018066,,query|history|context|role|tools|system
16,google/gemini-2.5-flash,openrouter,False,3605,19,0,0.001129,1294.0888404846191,,query|history|documents|role|tools|system
17,google/gemini-2.5-flash,openrouter,False,3677,32,0,0.0011831,1015.07568359375,,query|documents|tools|system
18,google/gemini-2.5-flash,openrouter,False,3755,19,0,0.001174,1009.6950531005859,,query|history|documents|role|tools|system
19,google/gemini-2.5-flash,openrouter,False,3508,7,0,0.0010699,716.3970470428467,,query|documents|role|tools|system
20,google/gemini-2.5-flash,openrouter,False,3652,32,0,0.0011756,1049.879789352417,,query|documents|context|role|tools|system
21,google/gemini-2.5-flash,openrouter,False,3469,32,0,0.0011206999999999999,959.4860076904297,,query|context|tools|system
22,google/gemini-2.5-flash,openrouter,False,3487,22,0,0.0011010999999999998,881.8991184234619,,query|context|tools|system
23,google/gemini-2.5-flash,openrouter,False,3814,23,0,0.0012017,937.8552436828613,,query|documents|context|role|tools|system
24,google/gemini-2.5-flash,openrouter,False,3588,7,0,0.0010938999999999999,834.5370292663574,,query|history|context|role|tools|system
25,google/gemini-2.5-flash,openrouter,False,3553,32,0,0.0011459,1054.0108680725098,,query|history|context|tools|system
26,google/gemini-2.5-flash,openrouter,False,3574,7,0,0.0010896999999999999,832.557201385498,,query|history|context|tools|system
27,google/gemini-2.5-flash,openrouter,False,3635,18,0,0.0011355,983.9529991149902,,query|history|documents|context|role|tools|system
28,google/gemini-2.5-flash,openrouter,False,3761,32,0,0.0012083,1003.2811164855957,,query|history|documents|context|role|tools|system
29,google/gemini-2.5-flash,openrouter,False,3545,32,0,0.0011435,1134.1841220855713,,query|history|documents|tools|system
