prompt_id,model,prompt_tokens,baseline_cost,optimized_cost,delta_cost,delta_pct,baseline_cache_hit,optimized_cache_hit
12,claude-sonnet-4-6,528,0.012042,0.001059,-0.010983,-91.21,0.0,0.868
27,claude-sonnet-4-6,510,0.011985,0.001059,-0.010926,-91.16,0.0,0.872
20,claude-sonnet-4-6,491,0.011931,0.001059,-0.010872,-91.12,0.0,0.876
14,claude-sonnet-4-6,472,0.011874,0.001059,-0.010815,-91.08,0.0,0.881
19,claude-sonnet-4-6,425,0.01173,0.001059,-0.010671,-90.97,0.0,0.891
9,claude-sonnet-4-6,420,0.011715,0.001059,-0.010656,-90.96,0.0,0.892
18,claude-sonnet-4-6,414,0.011697,0.001059,-0.010638,-90.95,0.0,0.894
13,claude-sonnet-4-6,393,0.011634,0.001059,-0.010575,-90.9,0.0,0.899
16,claude-sonnet-4-6,383,0.011604,0.001059,-0.010545,-90.87,0.0,0.901
15,claude-sonnet-4-6,380,0.011595,0.001059,-0.010536,-90.87,0.0,0.902
