prompt_id,model,provider,use_optimized,prompt_tokens,completion_tokens,cached_tokens,cost_usd,latency_ms,error,section_order
0,claude-sonnet-4-6,direct_zen,True,3169,0,0,0.0,0.0,Remote end closed connection without response,system|tools|role|query
1,claude-sonnet-4-6,direct_zen,True,247,7,0,0.013895999999999999,2345.7422256469727,,system|tools|role|documents|query
2,claude-sonnet-4-6,direct_zen,True,200,1,0,0.013664999999999998,25862.301111221313,,system|tools|role|context|history|query
3,claude-sonnet-4-6,direct_zen,True,294,1,0,0.013947,2963.218927383423,,system|tools|role|context|history|query
4,claude-sonnet-4-6,direct_zen,True,209,2,0,0.013707,2765.6688690185547,,system|tools|role|documents|query
5,claude-sonnet-4-6,direct_zen,True,348,1,0,0.014108999999999998,2700.164794921875,,system|tools|role|context|documents|query
6,claude-sonnet-4-6,direct_zen,True,513,1,0,0.014603999999999999,2702.500104904175,,system|tools|role|context|documents|query
7,claude-sonnet-4-6,direct_zen,True,18,19,0,0.013389,2384.7548961639404,,system|tools|role|query
8,claude-sonnet-4-6,direct_zen,True,329,1,3480,0.001059,2920.562744140625,,system|tools|role|context|documents|history|query
9,claude-sonnet-4-6,direct_zen,True,420,1,3480,0.001059,2439.2268657684326,,system|tools|role|documents|history|query
10,claude-sonnet-4-6,direct_zen,True,80,32,3480,0.001524,2741.0240173339844,,system|tools|role|context|query
11,claude-sonnet-4-6,direct_zen,True,282,5,3480,0.001119,2397.270917892456,,system|tools|role|context|history|query
12,claude-sonnet-4-6,direct_zen,True,528,1,3480,0.001059,2735.8059883117676,,system|tools|role|context|documents|history|query
13,claude-sonnet-4-6,direct_zen,True,393,1,3480,0.001059,2904.3121337890625,,system|tools|role|context|documents|history|query
14,claude-sonnet-4-6,direct_zen,True,472,1,3480,0.001059,4068.986177444458,,system|tools|role|context|documents|query
15,claude-sonnet-4-6,direct_zen,True,380,1,3480,0.001059,7563.6351108551025,,system|tools|role|context|documents|history|query
16,claude-sonnet-4-6,direct_zen,True,383,1,3480,0.001059,9532.87386894226,,system|tools|role|context|documents|query
17,claude-sonnet-4-6,direct_zen,True,107,1,3480,0.001059,2466.830015182495,,system|tools|role|history|query
18,claude-sonnet-4-6,direct_zen,True,414,1,3480,0.001059,2250.3480911254883,,system|tools|role|context|documents|query
19,claude-sonnet-4-6,direct_zen,True,425,1,3480,0.001059,2536.3199710845947,,system|tools|role|context|documents|query
20,claude-sonnet-4-6,direct_zen,True,491,1,3480,0.001059,2752.6321411132812,,system|tools|role|context|documents|history|query
21,claude-sonnet-4-6,direct_zen,True,340,1,3480,0.001059,3177.0260334014893,,system|tools|role|context|documents|history|query
22,claude-sonnet-4-6,direct_zen,True,140,1,3480,0.001059,51754.436016082764,,system|tools|role|documents|history|query
23,claude-sonnet-4-6,direct_zen,True,227,1,3480,0.001059,6656.862020492554,,system|tools|role|context|query
24,claude-sonnet-4-6,direct_zen,True,3350,0,0,0.0,0.0,Remote end closed connection without response,system|tools|role|context|query
25,claude-sonnet-4-6,direct_zen,True,3381,0,0,0.0,0.0,Remote end closed connection without response,system|tools|role|documents|history|query
26,claude-sonnet-4-6,direct_zen,True,300,1,3480,0.001059,3016.4921283721924,,system|tools|role|context|documents|history|query
27,claude-sonnet-4-6,direct_zen,True,510,1,3480,0.001059,19642.629861831665,,system|tools|role|context|documents|query
28,claude-sonnet-4-6,direct_zen,True,171,1,3480,0.001059,2836.8029594421387,,system|tools|role|context|history|query
29,claude-sonnet-4-6,direct_zen,True,72,1,3480,0.001059,3075.947046279907,,system|tools|role|history|query
0,claude-sonnet-4-6,direct_zen,False,3520,32,0,0.01104,2733.1979274749756,,query|role|tools|system
1,claude-sonnet-4-6,direct_zen,False,3727,1,0,0.011196,2488.801956176758,,query|documents|role|tools|system
2,claude-sonnet-4-6,direct_zen,False,3680,1,0,0.011055,2489.3791675567627,,query|history|context|role|tools|system
3,claude-sonnet-4-6,direct_zen,False,3774,1,0,0.011337,2952.0890712738037,,query|history|context|role|tools|system
4,claude-sonnet-4-6,direct_zen,False,3689,2,0,0.011097000000000001,2494.706869125366,,query|documents|role|tools|system
5,claude-sonnet-4-6,direct_zen,False,3828,1,0,0.011498999999999999,3218.940019607544,,query|documents|context|role|tools|system
6,claude-sonnet-4-6,direct_zen,False,3993,1,0,0.011994,13717.670202255249,,query|documents|context|role|tools|system
7,claude-sonnet-4-6,direct_zen,False,3498,27,0,0.010898999999999999,2285.1357460021973,,query|role|tools|system
8,claude-sonnet-4-6,direct_zen,False,3809,1,0,0.011441999999999999,3288.5990142822266,,query|history|documents|context|role|tools|system
9,claude-sonnet-4-6,direct_zen,False,3900,1,0,0.011714999999999998,2761.725902557373,,query|history|documents|role|tools|system
10,claude-sonnet-4-6,direct_zen,False,3561,1,0,0.010698,2439.531087875366,,query|context|role|tools|system
11,claude-sonnet-4-6,direct_zen,False,3762,1,0,0.011301,2746.0098266601562,,query|history|context|role|tools|system
12,claude-sonnet-4-6,direct_zen,False,4009,1,0,0.012042,2760.4639530181885,,query|history|documents|context|role|tools|system
13,claude-sonnet-4-6,direct_zen,False,3873,1,0,0.011634,18033.321142196655,,query|history|documents|context|role|tools|system
14,claude-sonnet-4-6,direct_zen,False,3953,1,0,0.011874,3123.542070388794,,query|documents|context|role|tools|system
15,claude-sonnet-4-6,direct_zen,False,3860,1,0,0.011595,2475.3880500793457,,query|history|documents|context|role|tools|system
16,claude-sonnet-4-6,direct_zen,False,3863,1,0,0.011604,2851.7370223999023,,query|documents|context|role|tools|system
17,claude-sonnet-4-6,direct_zen,False,3587,1,0,0.010775999999999999,2631.343126296997,,query|history|role|tools|system
18,claude-sonnet-4-6,direct_zen,False,3894,1,0,0.011696999999999999,2631.136894226074,,query|documents|context|role|tools|system
19,claude-sonnet-4-6,direct_zen,False,3905,1,0,0.011729999999999999,2827.681064605713,,query|documents|context|role|tools|system
20,claude-sonnet-4-6,direct_zen,False,3972,1,0,0.011930999999999999,2808.519124984741,,query|history|documents|context|role|tools|system
21,claude-sonnet-4-6,direct_zen,False,3820,1,0,0.011474999999999999,2586.214780807495,,query|history|documents|context|role|tools|system
22,claude-sonnet-4-6,direct_zen,False,3620,1,0,0.010875,2600.7330417633057,,query|history|documents|role|tools|system
23,claude-sonnet-4-6,direct_zen,False,3707,1,0,0.011135999999999998,9866.250991821289,,query|context|role|tools|system
24,claude-sonnet-4-6,direct_zen,False,3718,1,0,0.011169,2719.6080684661865,,query|context|role|tools|system
25,claude-sonnet-4-6,direct_zen,False,3735,1,0,0.011219999999999999,2940.4091835021973,,query|history|documents|role|tools|system
26,claude-sonnet-4-6,direct_zen,False,3780,1,0,0.011354999999999999,2752.689838409424,,query|history|documents|context|role|tools|system
27,claude-sonnet-4-6,direct_zen,False,3990,1,0,0.011984999999999997,6388.267993927002,,query|documents|context|role|tools|system
28,claude-sonnet-4-6,direct_zen,False,3652,1,0,0.010971,8832.180261611938,,query|history|context|role|tools|system
29,claude-sonnet-4-6,direct_zen,False,3552,1,0,0.010671,2352.946996688843,,query|history|role|tools|system
