prompt_id,model,provider,use_optimized,prompt_tokens,completion_tokens,cached_tokens,cost_usd,latency_ms,error,section_order
0,claude-sonnet-4-6,direct_zen,True,40,32,0,0.013649999999999999,2584.345817565918,,system|tools|role|query
1,claude-sonnet-4-6,direct_zen,True,247,7,3480,0.001149,2334.535837173462,,system|tools|role|documents|query
2,claude-sonnet-4-6,direct_zen,True,200,1,3480,0.001059,2451.7600536346436,,system|tools|role|context|history|query
3,claude-sonnet-4-6,direct_zen,True,294,1,3480,0.001059,2645.598888397217,,system|tools|role|context|history|query
4,claude-sonnet-4-6,direct_zen,True,209,2,3480,0.001074,2531.9840908050537,,system|tools|role|documents|query
0,claude-sonnet-4-6,direct_zen,False,3520,32,0,0.01104,2286.022186279297,,query|role|tools|system
1,claude-sonnet-4-6,direct_zen,False,3727,1,0,0.011196,3308.3460330963135,,query|documents|role|tools|system
2,claude-sonnet-4-6,direct_zen,False,3680,1,0,0.011055,2193.0220127105713,,query|history|context|role|tools|system
3,claude-sonnet-4-6,direct_zen,False,3774,1,0,0.011337,2532.954216003418,,query|history|context|role|tools|system
4,claude-sonnet-4-6,direct_zen,False,3689,2,0,0.011097000000000001,2254.2290687561035,,query|documents|role|tools|system
