prompt_id,model,prompt_tokens,baseline_cost,optimized_cost,delta_cost,delta_pct,baseline_cache_hit,optimized_cache_hit
5,echo-model,291,0.0,0.0,0.0,0.0,0.0,0.0
6,echo-model,374,0.0,0.0,0.0,0.0,0.0,0.0
7,echo-model,487,0.0,0.0,0.0,0.0,0.13,0.0
8,echo-model,199,0.0,0.0,0.0,0.0,0.0,0.0
9,echo-model,869,0.0,0.0,0.0,0.0,0.0,0.0
10,echo-model,159,0.0,0.0,0.0,0.0,0.0,0.0
11,echo-model,86,0.0,0.0,0.0,0.0,0.122,0.122
12,echo-model,98,0.0,0.0,0.0,0.0,0.0,0.125
13,echo-model,458,0.0,0.0,0.0,0.0,0.0,0.0
14,echo-model,484,0.0,0.0,0.0,0.0,0.166,0.129
